name	symbol	drugs	ID	ADME	target	dbsnp	mutype	tag	clinvarID	clinvar_clnsig	primary	SNP rs	Chromosome	Location	Population	PubMed	Context	P-Value	disease	NºDrogas	Nº Variantes	Tipo Gen	
hsa:3480 hsa:3643	[IGF1R][INSR][IGF1R]	Insulin Human,Insulin Lispro,Insulin Glargine,Insulin Pork,Insulin Aspart,Insulin Detemir,Insulin Glulisine,Mecasermin,Somatrem,Brigatinib	DB00030,DB00046,DB00047,DB00071,DB01306,DB01307,DB01309,DB01277,DB09098,DB12267		True	rs1322503729,rs746570875,rs766700950,rs121912428,rs121912426,rs121912427,rs121912429,rs33958176,rs3743262,rs1413077368,rs1253103806,rs767278224,rs56248469,rs148662051,rs45611935,rs187980012,rs45553041,rs45451896,rs773205989,rs1238271705,rs1131691583,rs150221450,rs45512296,rs149470389,rs1165403164,rs28674628,rs775724610,rs587776820,rs938519025,rs2059806,rs1347473020,rs911929963,rs1329693158,rs121913160,rs387906540,rs957304581,rs1135401741,rs764221583,rs781007453,rs1799817,rs200921389,rs1331227306,rs887190835,rs761203947,rs767336985,rs1246915228,rs749713053,rs759636582,rs1324279061,rs886037750,rs1135401737,rs1135401739,rs1135401738,rs1135401740,rs1135401742,rs121913136,rs121913137,rs121913138,rs121913140,rs121913141,rs121913142,rs121913135,rs121913143,rs121913146,rs121913145,rs387906538,rs121913144,rs121913139,rs1799816,rs121913148,rs909008899,rs121913157,rs121913152,rs52836744,rs267607184,rs121913151,rs121913150,rs1295645322,rs121913153,rs121913155,rs749094324,rs121913154,rs121913159,rs121913158,rs121913156,rs52800171,rs52826008,rs121913147,rs182552223,rs13306449,rs371294434,rs1229730671,rs1160859936,rs111993466,rs1051690,rs1366600,rs7252268,rs764083259,rs587776819,rs756470654	frameshift,inframe,gross,nonsense,missense,synonymous,regulatory,canonical-splice,noncoding,splice	DM,DM?,DP,DFP	431965,14792,14790,14791,14793,14794,193818,446754,446755,284570,284292,446756,429770,195570,446757,14713,198697,14714,393296,393290,194701,504474,439835,208852,393292,393293,393294,393295,393291,14680,14682,14684,14683,14689,14690,14679,14691,14694,14693,14686,14692,14687,14707,14697,14709,14702,14699,14681,14701,14700,14703,14705,14704,14711,14710,14708,14695,330456,330438,330436,330356,14712	Pathogenic,protective,Uncertain_significance,_protective,Benign,Likely_pathogenic,Conflicting_interpretations_of_pathogenicity,Likely_benign	None	4966038	15	98903403	East Asian	27506219	intron	0.000000002	True	10	100	TD	
hsa:3479 hsa:3630	[INS]	Zinc	DB01593		True	rs80356664,rs80356663,rs80356669,rs80356667,rs80356666,rs80356672,rs80356670,rs80356671,rs80356668,rs121908273,rs121908272,rs121908261,rs121908260,rs121908278,rs121908274,rs121908277,rs121908276,rs397515521,rs121908259,rs13306444,rs765512575,rs886037863,rs535989053,rs121908279,rs148685531,rs28933985,rs121918102,rs121918101,rs3842752,rs571342427,rs748749585,rs397515519,rs915076855,rs689,rs797045623,rs886041083,rs574629011	frameshift,gross,noncoding,missense,nonsense,initiation,regulatory,splice,canonical-splice,inframe	DM,DFP,DM?,DP	304060,21122,21123,13388,21117,21115,21114,21120,21118,13387,13389,68726,68733,13392,13391,13390,68729,68732,68731,68730,65588,65587,68727,304055,36401,253331,68728,13377,13378,13380,13381,13379,13382,13383,255531,435509,431443,431442,431444,65581,304059,211186,268153	Benign/Likely_benign,Pathogenic,not_provided,Likely_pathogenic,Uncertain_significance,Likely_benign,Conflicting_interpretations_of_pathogenicity,Benign	None	None	None	None	None	None	None	None	None	1	37	T	
hsa:596&hsa:598	[BCL2]	Ibuprofen,Paclitaxel,Docetaxel,Rasagiline,Dexibuprofen,Venetoclax	DB01050,DB01229,DB01248,DB01367,DB09213,DB11581		True	rs1800477,rs2279115,rs4987856	missense,regulatory	DP,DFP			True	None	None	None	None	None	None	None	None	6	3	T	
hsa:441925 hsa:8678	[BECN1]	Estradiol,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate	DB00783,DB13952,DB13953,DB13954,DB13955,DB13956		True	rs60221525	regulatory	DP			None	None	None	None	None	None	None	None	None	6	1	T	
hsa:3688&hsa:3678	[ITGA5]	Resveratrol	DB02709		True	rs867921931	nonsense	DM?			None	None	None	None	None	None	None	None	None	1	1	T	
hsa:2335	FN1	Zinc,Ocriplasmin	DB01593,DB08888		True	rs797044906,rs869025199,rs137854487,rs137854486,rs137854488,rs757469872,rs767986025,rs774794772,rs869025198,rs200304359,rs200561534,rs960098000,rs1363196309	missense,frameshift,inframe,gross,canonical-splice	DM,DM?,DP	208716,192246,424648,16324,16323,16325,192244,192245,424643,424644,424645,424647,424646	Pathogenic,Likely_pathogenic,Pathogenic/Likely_pathogenic	None	1250258,1250248	2	215435462,216286843	European,European, East Asian	28333195,24676476	intron_variant,intron	3e-08,8e-08	True	2	13	TD	
hsa:116379 hsa:1271 hsa:1438 hsa:1439 hsa:1441 hsa:149233 hsa:163702 hsa:1956 hsa:2057 hsa:2690 hsa:3454 hsa:3455 hsa:3459 hsa:3460 hsa:3559 hsa:3560 hsa:3561 hsa:3563 hsa:3566 hsa:3568 hsa:3570 hsa:3572 hsa:3575 hsa:3581 hsa:3587 hsa:3588 hsa:3590 hsa:3594 hsa:3595 hsa:3597 hsa:3598 hsa:3601 hsa:3953 hsa:3977 hsa:4352 hsa:50615 hsa:5156 hsa:5159 hsa:53832 hsa:53833 hsa:5618 hsa:58985 hsa:64109 hsa:9180 hsa:9466	[EGFR][IFNAR1][IFNAR2][IFNGR1][IFNGR2][IL2RA][IL2RB][IL2RG][PDGFRA][PDGFRB][PRLR]	Trastuzumab,Lidocaine,Gefitinib,Erlotinib,Lapatinib,Vandetanib,Afatinib,Osimertinib,Neratinib,Peginterferon alfa-2a,Interferon alfa-n1,Interferon alfa-n3,Peginterferon alfa-2b,Interferon beta-1a,Interferon beta-1b,Interferon alfacon-1,Interferon Alfa-2b Recombinant,Interferon gamma-1b,Aldesleukin,Imatinib,Sunitinib,Pazopanib,Midostaurin,Regorafenib,Ponatinib,Sorafenib,Dasatinib,Fluoxymesterone	DB00072,DB00281,DB00317,DB00530,DB01259,DB05294,DB08916,DB09330,DB11828,DB00008,DB00011,DB00018,DB00022,DB00060,DB00068,DB00069,DB00105,DB00033,DB00041,DB00619,DB01268,DB06589,DB06595,DB08896,DB08901,DB00398,DB01254,DB01185		True	rs1271819892,rs121434569,rs1050171,rs148934350,rs146795390,rs754426793,rs1140476,rs371228501,rs483352806,rs201061916,rs606231253,rs886037891,rs143884981,rs559717059,rs144943614,rs762336338,rs150036236,rs2227983,rs712829,rs884225,rs141601938,rs556687593,rs2257167,rs777131808,rs2850015,rs775739391,rs1051393,rs2229207,rs587776857,rs587776858,rs41401746,rs749956849,rs587776860,rs587776853,rs587776856,rs587776859,rs1302455385,rs587776854,rs121912715,rs104893974,rs1887415,rs387906593,rs752113778,rs1311661488,rs1160070099,rs752756474,rs945137618,rs1800563,rs104893973,rs2234711,rs587776855,rs7749390,rs532749039,rs587776822,rs398122890,rs1243506079,rs74315444,rs9808753,rs1196094724,rs886041032,rs886041038,rs886041037,rs796051888,rs796051887,rs41295061,rs11594656,rs12722522,rs7072793,rs12722489,rs12722508,rs2104286,rs61839660,rs749152355,rs1064793338,rs587776729,rs1293196743,rs193922348,rs776710796,rs111033622,rs137852511,rs1064794027,rs886041334,rs1057520293,rs868130123,rs1064793347,rs111033619,rs111033620,rs137852507,rs111033621,rs137852508,rs137852509,rs1057520644,rs1057521062,rs1057517950,rs111033618,rs869320660,rs869320659,rs111033617,rs137852510,rs193922347,rs1131691652,rs869320658,rs750334757,rs886039387,rs886041333,rs121908588,rs121908589,rs140943817,rs121908586,rs574683248,rs779173667,rs1215904714,rs181854060,rs397514550,rs878854825,rs375047532,rs201874958,rs368648130,rs140436230,rs552950826,rs55947416,rs397509381,rs397509382,rs367543286,rs144050370,rs863224946,rs368602685,rs138008832,rs1060499542,rs763239423,rs768472954,rs142621427,rs797044887,rs748119964,rs72478580,rs2228482,rs398122522	frameshift,gross,missense,synonymous,nonsense,regulatory,noncoding,inframe,initiation,canonical-splice,splice	DM,DP,DM?,DFP	16613,45271,45282,376212,45276,126515,157499,254143,134021,360449,360482,,218160,7288,17948,17951,208588,17954,17943,17947,17952,17945,17950,17949,355552,29607,17944,355565,17946,355562,14726,37286,14727,14668,203516,203515,203518,203517,14669,14670,465830,418645,10024,36386,10025,463382,430100,10028,419664,488696,280036,377975,418656,10019,10020,10016,10022,36389,10018,379561,381532,372730,10027,225196,225195,503682,10026,10023,36385,429886,449330,463379,225194,265194,280035,13551,13552,135018,13546,39617,39618,240318,240305,407415,240366,259954,39588,39589,55848,55849,217122,135650,495300,375682,375237,208692,88996,89027	drug_response,Benign/Likely_benign,Likely_benign,Likely_pathogenic,Uncertain_significance,Pathogenic,,risk_factor,Benign,_risk_factor,association,Pathogenic/Likely_pathogenic,Conflicting_interpretations_of_pathogenicity	True	None	None	None	None	None	None	None	None	28	137	T	
hsa:3716 hsa:3717 hsa:3718 hsa:7297	[JAK1][JAK2][JAK3][TYK2]	Ruxolitinib,Tofacitinib,Baricitinib	DB08877,DB08895,DB11817		True	rs375122732,rs760807400,rs869312953,rs1269973066,rs77375493,rs760667430,rs1346944271,rs1486560342,rs150221602,rs41316003,rs751548297,rs2230723,rs1016673565,rs139504737,rs1887428,rs182123615,rs121912473,rs1310916062,rs193922364,rs755706305,rs55778349,rs3213409,rs747131454,rs1009464631,rs1198251679,rs147181709,rs886039394,rs140655992,rs3212723,rs138201425,rs968177323,rs201233697,rs1467075214,rs1206783733,rs149316157,rs750687910,rs1435749725,rs774202259,rs786205517,rs1257606008,rs35785705,rs199868795,rs773308335,rs748216175,rs767428670,rs137852624,rs137852625,rs137852626,rs193922361,rs749481781,rs1160856608,rs976205515,rs760051760,rs1410068654,rs193922362,rs770927552,rs869320745,rs879253732,rs757101286,rs2304256,rs12720356,rs34536443,rs2304255,rs55762744,rs201335603,rs879253731,rs201025290,rs35018800,rs55882956	gross,frameshift,missense,regulatory,splice,inframe,noncoding,nonsense,initiation,canonical-splice	DM?,DM,DP,DFP	225075,29763,134553,134555,134563,134559,36423,36422,134573,265205,134580,381576,191102,191101,384359,134571,9360,9363,9364,36415,328503,36416,225508,155930,224887,259040,259043,137869,137864,378838,224886,224888,287098,327942	Likely_pathogenic,Pathogenic,not_provided,Pathogenic/Likely_pathogenic,Benign/Likely_benign,Conflicting_interpretations_of_pathogenicity,Uncertain_significance,Benign,Likely_benign	None	None	None	None	None	None	None	None	None	3	69	T	
hsa:11009 hsa:1437 hsa:1489 hsa:282616 hsa:282617 hsa:282618 hsa:29949 hsa:338376 hsa:3439 hsa:3440 hsa:3441 hsa:3442 hsa:3443 hsa:3444 hsa:3445 hsa:3446 hsa:3447 hsa:3448 hsa:3449 hsa:3451 hsa:3452 hsa:3456 hsa:3458 hsa:3467 hsa:3558 hsa:3562 hsa:3565 hsa:3567 hsa:3569 hsa:3574 hsa:3578 hsa:3586 hsa:3589 hsa:3592 hsa:3593 hsa:3596 hsa:3600 hsa:3976 hsa:5008 hsa:50604 hsa:50616 hsa:51561 hsa:53342 hsa:56832 hsa:59067 hsa:85480	[IFNG][IL15][IL2][IL3][IL6]	Apremilast,Cefazolin,Pseudoephedrine,Zinc,Ginseng	DB05676,DB01327,DB00852,DB01593,DB01404		True	rs3138557,rs2430561,rs2069727,rs2069762,rs2069763,rs40401,rs31480,rs1800797,rs1800796,rs2069845,rs1800795	gross,regulatory,splice,frameshift,missense	DFP,DP,DM?,DM			None	None	None	None	None	None	None	None	None	5	11	T	
hsa:335	APOA1	Zinc	DB01593		True	rs781350389,rs1440319688,rs532489785,rs1416566204,rs753348565,rs121912730,rs372520221,rs1233547311,rs28931573,rs199759119,rs1373700967,rs5078,rs121912717,rs140770089,rs138407155,rs4882,rs12718465,rs373545875,rs121912720,rs121912722,rs28929476,rs28931574,rs121912723,rs121912724,rs387906570,rs121912725,rs121912726,rs779081481,rs121912727,rs28931575,rs121912728,rs121912729,rs670,rs5069,rs1015531531	frameshift,inframe,gross,missense,nonsense,synonymous,regulatory,canonical-splice	DM,DM?,DP,DFP	504196,17934,17909,17912,302502,302506,302507,17914,17916,17920,17917,17922,17923,17924,17926,17928,17929,17931,17933	Pathogenic,Likely_benign	None	None	None	None	None	None	None	None	None	1	35	T	
hsa:5465&hsa:6256 hsa:6257 hsa:6258	[PPARA][RXRA][RXRB][RXRG]	Icosapent,Valproic Acid,Indomethacin,Rosiglitazone,Fenoprofen,Clofibrate,Fenofibrate,Ibuprofen,Pioglitazone,Gemfibrozil,Bezafibrate,Prasterone,Resveratrol,Doconexent,Palmitic Acid,Oleic Acid,Caprylic acid,Soybean oil,Omega-3 fatty acids,Myrrh,Fenofibric acid,Bexarotene,Alitretinoin,Etodolac,Tretinoin	DB00159,DB00313,DB00328,DB00412,DB00573,DB00636,DB01039,DB01050,DB01132,DB01241,DB01393,DB01708,DB02709,DB03756,DB03796,DB04224,DB04519,DB09422,DB11133,DB11605,DB13873,DB00307,DB00523,DB00749,DB00755		True	rs1800206,rs1800234,rs1800243,rs1800242,rs1800204,rs1042311,rs781405965,rs135561,rs368400425,,rs751038970,rs10918172,rs283696	missense,regulatory,splice,synonymous	DFP,DM?,DP,DM	13701,	risk_factor,	True	None	None	None	None	None	None	None	None	25	13	T	
